Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,Daily Total
2019-11-08,0.0,8501.042962807658,0.0,4392.555053430813,17612.768399232027,62279.03943698413,0.0,0.0,4608.274371786862,0.0,17573.79373356088,114967.47
2019-11-11,0.0,8466.378515774852,0.0,4379.311168847605,17625.69678318057,62322.434424398125,0.0,0.0,4576.935718351783,0.0,17537.58598316208,114908.34
2019-11-12,0.0,8474.631955544568,0.0,4383.725797042008,17621.38732186439,62510.47936985877,0.0,0.0,4590.36656982396,0.0,17523.10288300256,115103.69
2019-11-13,0.0,8474.631955544568,0.0,4357.238027875591,17554.590671463582,62662.36182580775,0.0,0.0,4659.013144015085,0.0,17472.412032444245,115180.25
2019-11-14,0.0,8510.94709053132,0.0,4363.124198801461,17608.458937915846,62597.26934468675,0.0,0.0,4676.174787562866,0.0,17543.37922322589,115299.35
2019-11-15,0.0,8578.625296642991,0.0,4379.311168847605,17733.433316085095,63089.07920204536,0.0,0.0,4691.097955865285,0.0,17578.138663608737,116049.69
2019-11-18,0.0,8608.337679813969,0.0,4386.668882504942,17673.100857658563,63277.124147505994,0.0,0.0,4698.559540016494,0.0,17636.07106424681,116279.86
2019-11-19,0.0,8614.940431629742,0.0,4394.026596162281,17651.553551077657,63421.77410555264,0.0,0.0,4686.62100537456,0.0,17447.79076217306,116216.71
2019-11-20,0.0,8565.419793011446,0.0,4371.953455190267,17520.114980934133,63016.75422302203,0.0,0.0,4716.467341979397,0.0,17405.789771710453,115596.5
2019-11-21,0.0,8583.57736050482,0.0,4369.010369727332,17502.87713566941,62727.45430692874,0.0,0.0,4699.305698431615,0.0,17315.994550721432,115198.22
2019-11-22,0.0,8588.52942436665,0.0,4399.912767088151,17595.530553967303,62640.66433210075,0.0,0.0,4700.7980152618575,0.0,17427.514421949734,115352.95
2019-11-25,0.0,8614.940431629742,0.0,4430.815164448971,17724.814393452736,63523.029076185296,0.0,0.0,4684.382530129196,0.0,17576.69035359278,116554.67
2019-11-26,0.0,8638.050062984947,0.0,4424.928993523101,17772.21846793073,63559.19156569696,0.0,0.0,4702.2903320921,0.0,17704.141634996555,116800.82
2019-11-27,0.0,8699.125517280847,0.0,4442.587506300712,17757.13535332409,63942.513954520575,0.0,0.0,4709.751916243308,0.0,17850.4209466077,117401.54
2019-11-29,0.0,8676.015885925643,0.0,4435.303369779947,17673.100857658563,63732.77151535294,0.0,0.0,4705.274965752583,0.0,17733.107835315594,116955.57
2019-12-02,0.0,8596.782864136367,0.0,4408.742023476957,17384.36694947443,62864.871767073055,0.0,0.0,4669.459361826778,0.0,17596.96669381611,115521.19
2019-12-03,0.0,8578.625296642991,0.0,4346.937228755317,17194.750651562463,62315.201926495785,0.0,0.0,4689.605639035043,0.0,17411.583011774263,114536.7
2019-12-04,0.0,8621.543183445514,0.0,4389.611967967878,17255.083109989,62539.4093614681,0.0,0.0,4723.182767715485,0.0,17508.61978284304,115037.45
2019-12-05,0.0,8659.50900638621,0.0,4410.949337574159,17265.85676327945,62785.3142901474,0.0,0.0,4729.898193451573,0.0,17492.68837266757,115344.22
2019-12-06,0.0,8709.029645004506,0.0,4467.603732735662,17474.86563711423,63465.16909296664,0.0,0.0,4718.70581722476,0.0,17634.622754230862,116470.0
2019-12-09,0.0,8676.015885925643,0.0,4457.302933615388,17412.37844802961,63154.17168316634,0.0,0.0,4699.305698431615,0.0,17652.002474422283,116051.18
2019-12-10,0.0,8647.954190708608,0.0,4455.831390883921,17388.676410790613,63190.33417267801,0.0,0.0,4697.813381601373,0.0,17623.036274103248,116003.65
2019-12-11,0.0,8685.9200136493,0.0,4447.002134495115,17498.567674353228,63609.81905101329,0.0,0.0,4712.7365499037915,0.0,17666.485574581806,116620.53
2019-12-12,0.0,8692.522765465073,0.0,4535.294698383172,17651.553551077657,64304.138849637195,0.0,0.0,4691.097955865285,0.0,17824.351366320563,117698.96
2019-12-13,0.0,8676.015885925643,0.0,4516.164642874092,17606.304207257755,64730.856225874806,0.0,0.0,4730.644351866694,0.0,17840.28277649604,118100.27
