Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,Daily Total
2019-05-07,2499.7847442838543,21448.080439980065,362.8257316115888,6076.931446294038,5287.361238578426,23155.41251062861,7.378425298093039,2.6600866665169325,5224.433628849725,17595.736841891714,24383.51885635002,106044.12
2019-05-08,2497.052241375182,21391.454719890757,362.655043639998,6060.306611040634,5287.361238578426,23113.091913350694,7.37452618308612,2.66083451207963,5153.906487442616,17619.474766804888,24373.15523901903,105868.49
2019-05-09,2477.9247210144745,21334.82899980145,362.8257316115888,6055.873321639728,5279.020455764842,22958.924023266878,7.358929723058443,2.6690608132693088,5151.193905080803,17589.80236066342,24277.809959573933,105498.23
2019-05-10,2510.2593387670986,21382.74307064625,364.41881934643663,6089.122992146534,5300.56747803327,23025.42781898931,7.4473096632152735,2.7004703269026265,5240.709123020597,17583.867879435125,24308.900811566902,105816.17
2019-05-13,2455.153863442204,20729.36937730811,358.44474034075733,5911.791416110232,5149.738322154274,22160.878474597695,7.383624118102264,2.701218172465324,5299.481740859855,17269.34037433554,23602.102109593478,102946.39
2019-05-14,2475.192218105802,20846.976642108973,362.8257316115888,5958.340954819761,5205.343540911507,22523.626451265507,7.413517333155309,2.710940164780399,5257.888811312072,17344.510469893936,23813.519903145647,103798.35
2019-05-15,2469.7272122884574,21308.694052067927,364.53261132749714,5932.849540764542,5212.294193256161,22759.412636099583,7.4720040582590945,2.728888458285152,5252.463646588449,17391.986319720287,23983.483227373858,104685.64
2019-05-16,2503.4280814954177,21495.99451082486,366.52397099605696,5996.023914727475,5258.516031348112,22986.130121516966,7.529191078360573,2.745341060664509,5286.823023171399,17528.47938797105,24201.119191324622,105633.31
2019-05-17,2489.31014980061,21347.896473668214,362.76883562105854,5960.557599520215,5201.173149504714,22789.641634155232,7.505796388319059,2.7408539872883204,5316.66142915133,17494.850661010714,24027.01042016401,105000.12
2019-05-20,2453.3321948364223,20991.15443710559,363.05331557370994,5968.315855971803,5186.576779580942,22393.641759626204,7.490199928291384,2.696731099089136,5323.894982116161,17488.91617978242,23857.047095935795,104036.12
2019-05-21,2491.1318184063916,21221.57755962284,367.14982689189003,6020.407006432467,5249.132650682828,22668.725641932626,7.469404648254482,2.7199143115327753,5329.320146839786,17639.256370899202,24018.719526299217,105015.61
2019-05-22,2474.2813838029115,21204.154261133823,361.232643876741,5990.48230297634,5205.343540911507,22538.74095029333,7.509695503325978,2.730384149410548,5371.8172705081715,17748.055193417928,23774.13815728789,104678.49
2019-05-23,2436.4817602329426,20907.958186820535,349.73965378962464,5902.9248373084165,5127.49623465138,22151.809775181,7.50189727331214,2.745341060664509,5417.02697653837,17684.754060316125,23488.102318952602,103476.54
2019-05-24,2450.1442747763044,20903.60236219828,350.42240567598805,5949.474376017945,5130.9715608237075,22163.901374403256,7.478502583270626,2.7498281340406976,5407.985035332331,17720.360947685887,23517.12044747937,103604.21
2019-05-28,2426.918000052589,20995.07467926562,346.6672703009896,5882.975035004332,5080.231798707732,22085.305979458568,7.34788223053884,2.7191664659700776,5318.469817392538,17463.200094459815,23365.811634446938,102974.72
2019-05-29,2425.096331446807,20794.70674664192,344.50522266083897,5876.325100902972,5057.2946459703735,21955.321287819264,7.295244177945434,2.688504797899458,5248.846870106032,17297.03462006758,23160.61201129336,102169.73
2019-05-30,2430.561337264152,20833.90916824221,340.3233673568635,5853.0503315482065,5080.579331324965,22091.351779069697,7.326437098000785,2.704957400278815,5242.517511261804,17391.986319720287,23299.48448352861,102573.8
2019-05-31,2402.780891025982,20515.93397081765,334.7760082801613,5765.492865880283,5007.945014323329,21731.62670220745,7.22895922282781,2.72589707603436,5267.834946638715,17253.515091060093,22994.794133997544,101284.65
2019-06-03,2478.38013816592,19866.91610210176,339.1569995509928,5803.1758257879965,5042.003210812135,21350.741326706247,7.32123827799156,2.7378626050375283,5319.374011513141,17306.92542211474,22799.95812817496,100316.69
2019-06-04,2550.7914652457403,20285.07526583817,344.7897026134904,5960.557599520215,5162.944561609117,22052.05408159735,7.38492382310457,2.7221578482208697,5323.894982116161,17601.67132312001,23421.775168034277,102713.66
2019-06-05,2571.285237060784,20306.854388949443,341.0914632290223,5998.240559427929,5217.854715131884,22357.366961959422,7.4772028782683195,2.785724721050203,5437.823441312262,17722.33910809532,23535.77495867515,103498.89
2019-06-06,2599.9765176018445,20380.903407527767,347.17933421576214,6022.623651132921,5220.634976069747,22608.26764582133,7.546087243390556,2.7909596399890892,5469.4702355334,17785.64024119712,23651.84747278222,104096.88
2019-06-07,2620.0148722654426,20707.590254196835,348.6017339790191,6011.540427630652,5263.033955372137,23032.98506850322,7.618870723519709,2.79843809561607,5429.685694226826,18001.259725825137,23993.846844704847,105418.98
2019-06-10,2624.113626628451,20709.942399492855,349.73965378962464,6062.523255741089,5269.98460771679,23255.16820421226,7.6227698385266285,2.789463948863693,5394.422123523271,18055.659137084498,24201.119191324622,105933.08
2019-06-11,2622.7473751741154,20781.63927277516,350.30861369492743,6062.523255741089,5224.110302242073,23267.259803434517,7.648763938572755,2.795446713365278,5360.062746940321,18015.106848691154,24290.24630037112,105984.45
2019-06-12,2631.400301051578,20685.985364070457,345.3017665282629,6007.107138229744,5234.536280759055,23137.27511179522,7.656562168586593,2.805168705680352,5431.494082468033,18108.08038793443,24275.73723610774,105867.38
2019-06-13,2646.8844842007215,20921.025660687297,349.62586180856414,6024.8402958333745,5263.033955372137,23203.77890751765,7.674758038618882,2.8096557790565404,5440.5360236740735,18090.27694424955,24499.591370457092,106450.08
2019-06-14,2635.043638263141,20960.228082287584,347.0655422347016,6038.140164036096,5242.181998338175,22998.221720739224,7.6786571536258,2.8193777713716153,5496.5960591515195,18052.69189647035,24557.62762751063,106338.29
2019-06-17,2610.9065292365344,21204.154261133823,350.08102973280637,5982.724046524752,5224.110302242073,23034.496518406006,7.656562168586593,2.8507872850049325,5475.799594377629,18133.796473257036,24561.773074443023,106588.35
2019-06-18,2630.9448839001325,21313.04987669018,354.9740849184103,6062.523255741089,5324.199696005093,23430.496392935034,7.616271313515098,2.8433088293779525,5460.428294327361,18286.11482478325,24752.463633333213,107625.65
2019-06-19,2618.193203659661,21347.896473668214,354.291333032047,6047.0067428379125,5321.419435067232,23524.20628690755,7.6474642335704495,2.8620049684454036,5502.925417995747,18456.236619994343,24802.20899652196,107984.89
2019-06-20,2650.0724042608394,21469.859563091333,362.0860837346952,6079.148090994492,5408.997654609874,23856.72526551971,7.712449483685766,2.877709725262062,5533.668018096282,18529.428555143302,24961.808703419185,108862.38
2019-06-21,2626.8461295371235,21513.41780931388,361.68781180098324,6031.490229934736,5357.910359876666,23672.32837738024,7.6279686585358535,2.823864844747803,5514.679941563599,18539.31935719046,24783.554485326178,108411.69
2019-06-24,2637.320724020368,21574.399354025438,358.38784435022706,6011.540427630652,5347.1368487424525,23717.671874463715,7.650063643575062,2.8111514701819367,5515.584135684203,18444.367657537754,24644.682013090933,108261.55
2019-06-25,2637.5484325960906,21173.663488778046,355.42925284265255,5989.373980626114,5306.127999908993,23282.37430246234,7.64356511856353,2.7730113464843362,5481.224759101252,18369.197561979367,24404.246091011995,107009.6
2019-06-26,2632.3111353544687,21095.258645577465,361.06195590515017,5980.5074018242985,5317.944108894905,23533.274986324242,7.5369893083744115,2.7184186204073795,5364.58371754334,18137.7527940759,24483.00958272751,106915.96
2019-06-27,2641.419478383377,21230.28920886735,358.0464684070454,6033.706874635189,5322.809565536163,23593.732982435547,7.544787538388249,2.7423496784137167,5370.913076387567,18252.486097822915,24636.39111922614,107450.08
2019-06-28,2760.850949199155,19848.279796945277,266.86379409820705,6273.851582618938,4856.877607118244,25560.815918473647,101.33655673326298,3.041182838726006,4510.943059213159,22111.137056303047,21705.35637467875,107999.35
2019-07-01,2781.1409151563525,20005.581750223242,267.24083870525317,6348.865025454598,4869.435790976339,25950.18318604896,101.89498101696617,3.034567976651561,4498.851404170872,22247.271730337317,21894.731967209504,108968.23
2019-07-02,2778.781616789237,20209.26761280112,262.5068341945628,6337.49935229768,4861.272971468577,26022.167050642714,102.73261744252095,3.090380875404689,4554.775308741449,22342.80483492277,21951.18046113694,109426.08
2019-07-03,2791.9936876450865,20316.152273361786,264.0464330066679,6380.68891029397,4886.389339184767,26205.398705972275,104.11122739291318,3.133790907768233,4591.05027386831,22543.42435455222,22127.80961955505,110214.2
2019-07-05,2778.3097571158137,20332.285807031323,264.3920572297935,6403.4202566078075,4863.470653643744,26162.862785985053,103.64005690353862,3.1164268948228155,4586.138039007381,22392.959714830133,22160.58616441614,110051.18
2019-07-08,2748.34666785344,20154.81693666644,264.60152645593024,6367.050102505668,4826.737965858816,25966.543155274812,103.79711373333014,3.129656618971705,4592.561730748596,22223.388454190954,22189.720870959336,109440.69
2019-07-09,2720.742876958183,20283.88520602272,264.81099568206696,6385.235179556737,4817.319327965245,26048.343001404082,103.18633717302978,3.1453669163985114,4594.828916069025,22244.88340272268,22220.67649666148,109687.06
2019-07-10,2715.5524205505276,20507.737985687516,268.5395479073009,6357.957563980133,4802.877416528436,26257.750607495007,103.91926904539021,3.161904071584624,4609.18775643174,22323.69821400568,22280.766828906813,110231.15
2019-07-11,2727.3489123861077,20513.78806081359,268.95848635957447,6394.3277180822715,4837.412422138197,26349.366435159787,104.11122739291318,3.1230417568972606,4609.943484871883,22330.863196849587,22342.6780803111,110481.92
2019-07-12,2754.24491377123,20663.023247256788,269.9639386450308,6434.107574131486,4921.552253987433,26552.23005356037,104.42534105249624,3.111465748266982,4580.470075706309,22075.3121420835,22592.144005087186,110950.59
2019-07-15,2757.5479314851927,20675.123397508938,267.5340956218446,6401.1471219764235,4902.714978200291,26637.30189353481,104.65220091775065,3.1147731793042044,4598.6075582697395,22125.467021990866,22666.80169060412,111140.01
2019-07-16,2762.7383878928476,20632.77287162641,264.6434203011576,6382.962044925353,4933.482528652623,26391.902355147005,104.65220091775065,3.1098120327483705,4572.157062864737,22015.603951717596,22635.846064901976,110699.87
2019-07-17,2738.6735445482645,20433.120392465913,261.5851695995612,6328.406813772145,4826.1100566659115,26316.646496708083,104.5474963645563,3.0957554508401754,4591.806002308453,22020.380606946866,22430.08219994068,110054.45
2019-07-18,2749.5263170369985,20255.65152210103,261.6270634447885,6380.68891029397,4838.040331331102,26522.782108953834,105.31532975464819,3.0916211620436473,4628.836695875457,22142.185315293318,22395.484735920636,110283.23
2019-07-19,2757.5479314851927,19997.514983388475,263.009560337291,6351.138160085982,4863.156699047292,26388.63036130184,104.56494712342203,3.041182838726006,4561.576864702735,21910.517536673593,22240.706607409924,109441.4
2019-07-22,2750.4700363838447,20074.149268318768,264.18258800365675,6362.5038332429,4868.179972590529,26706.013764283398,104.02397359858456,3.0391156943277418,4553.263851861163,21872.304294839414,22257.094879840468,109815.23
